stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
4686,0486,Океан (486),"вул. Володимира Великого (вул. Кн.Ольги, 106)",49.810497,23.998132
4687,0483,В. Великого (483),вул. Володимира Великого 35,49.809971,24.004725
4688,0480,Янева (480),вул. Володимира Великого 21,49.808856,24.012052
4689,0559,Автобусний завод (559),"вул. Стрийська, 104",49.807627,24.019037
4690,0565,Стрийська-Наукова (565),вул. Стрийська  (перехрестя Стрийська-Наукова),49.801302,24.017626
4691,0430,Скорини (430),"вул. Стрийська, 57",49.798002,24.017245
4692,,"Винники, Забава (1001-01)","Винники, вул. Забава, 98",49.808856,24.119786
4693,0431,Гашека (431),"вул. Стрийська, 61",49.794712,24.016521
4694,0436,Стрийська-Наукова (436),"вул. Стрийська, 45а",49.802604,24.018361
4695,0508,Боднарівка (508),"вул. І. Рубчака, 2",49.805491,24.017760
4696,0568,Тролейбусне депо (568),"вул. Тролейбусна, 1",49.807404,24.007479
4697,0479,Коледж телекомунікацій (479),"вул. Володимира Великого, 12",49.809964,24.007037
4698,0481,В. Великого (481),"вул. Володимира Великого, 22",49.810435,24.001200
4699,0482,Океан (482),"вул. Володимира Великого, 22",49.810791,23.996603
4700,0484,Боткіна (484),"вул. Володимира Великого, 50",49.811440,23.990131
4701,0530,Кардіологічний центр (530),"вул. Кульпарківська, 35",49.831242,23.990782
4702,0535,Кульпарківська (535),"вул. Любінська, 4",49.834052,23.990766
4703,0494,Скриня (494),вул. Городоцька 175,49.835346,23.995090
4705,0582,Промислова (0582),вул. Б. Хмельницького 106,49.853635,24.041626
4706,0583,Ф-ка повидла (583),"вул. Б. Хмельницького, 122",49.855790,24.045500
4707,0585,Височана (585),"вул. Б. Хмельницького, 158",49.858291,24.047576
4708,0587,Радіоринок (587),вул. Б. Хмельницького 176,49.862323,24.051003
4709,0084,"Малехів, Нова (1192)","Малехів, вул. Т. Дороша",49.876903,24.066721
4711,0320,ТРЦ Кінг Кросс (320),"вул. Стрийська, 30",49.774093,24.012718
4712,0434,Іподром (434),вул. Стрийська 179,49.778119,24.014171
4713,0435,Сокільницька (435),"вул. Стрийська, 197",49.784229,24.014322
4714,0433,Автовокзал (433),"вул. Стрийська, 109",49.787914,24.016800
4715,0432,Максимовича (432),"вул. Стрийська, 71",49.792614,24.015985
4716,0131,Скнилівок (131),"вул. І. Виговського, 89",49.812297,23.981942
4717,0130,Південний (130),"вул. Виговського, 69",49.813671,23.976856
4718,0129,Кульчицької (129),"вул. Виговського, 47",49.816714,23.972350
4719,0128,Любінська-Виговського (128),"вул. Виговського, 41",49.819621,23.969861
4721,0125,Поліклініка №5 (125),"вул. Виговського, 17",49.826297,23.967919
4722,0100,Мотозавод (100),вул. Городоцька 249,49.830754,23.969164
4723,0114,Богданівка (114),вул. Городоцька 223,49.832488,23.979174
4724,0497,Народна (497),вул. Городоцька 207,49.833429,23.984560
4725,0496,Кульпарківська (496),вул. Городоцька 189,49.834460,23.990058
4726,0189,Приміський вокзал (189),"вул. Чернівецька, 4",49.837720,24.000138
4727,,Залізничний вокзал (83),"пл. Двірцева,1",49.840001,23.996042
4728,0191,Залізничний вокзал (191),"пл. Двірцева, 1",49.839738,23.995146
4729,0190,Приміський вокзал (190),вул. Чернівецька 9,49.837571,23.999881
4730,0096,Народна (96),вул. Городоцька 134,49.833772,23.985236
4731,0498,Богданівка (498),вул. Городоцька (навпроти № 225),49.832495,23.978396
4732,0124,Мотозавод (124),"вул. І. Виговського, 4",49.830066,23.968123
4733,0127,Поліклініка №5 (127),вул. І. Виговського 32,49.825854,23.967635
4734,0133,Любінська-Виговського (133),"вул. І. Виговського (вул. Чуваська, 12)",49.820016,23.969389
4735,0134,Кульчицької (134),вул. І. Виговського (навпроти № 45А),49.817378,23.971503
4736,0135,Скнилівок (135),вул. І. Виговського (навпроти № 89),49.812128,23.982142
4737,0561,Гашека (561),"вул. Стрийська, 244",49.794106,24.016076
4738,0562,Максимовича (562),"вул. Стрийська,264",49.791440,24.015448
4739,0563,Автовокзал (563),вул. Стрийська 302,49.787582,24.014606
4740,0564,Сокільницька (564),"вул. Стрийська, 338",49.783131,24.013849
