stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
4783,0662,Щурата (0662),вул. Миколайчука Івана (навпроти № 28),49.878784,24.036520
4784,0658,Лікарня швидкої допомоги (0658),вул. Миколайчука Івана  11,49.874907,24.041259
4785,0605,Автостанція №2 (0605),вул. Липинського Вячеслава (навпроти № 60),49.864889,24.051685
4786,0607,Миколайчука (0607),вул. Липинського Вячеслава (перехрестя з вул. Миколайчука Івана),49.865276,24.043611
4787,0604,БТІ (0604),вул. Липинського Вячеслава (навпроти № 54),49.864930,24.040693
4788,0599,Бетховена (0599),вул. Липинського Вячеслава 44,49.863557,24.033548
4789,0602,Замарстинівська (0602),"вул. Липинського Вячеслава (вул. Покутська, 1)",49.859791,24.026204
4790,0596,Окуневського (0596),вул. Липинського Вячеслава 5,49.856216,24.019434
4792,0622,Струмок (0622),вул. Варшавська 44,49.857863,24.011624
4793,0627,Панча (0627),"вул. Варшавська (вул. П. Панча, 26)",49.862171,24.007643
4794,0696,Татарбунарська (0696),"вул. Шевченка Тараса, 154-Б",49.854006,23.985048
4795,0177,Суботівська (0177),вул. Суботівська 13,49.847375,23.965731
4796,0176,Поліклініка №3 (0176),вул. Суботівська 2,49.844531,23.966610
4797,0194,Гніздовського (0194),вул. Широка 79,49.841819,23.968499
4798,0195,Низинна (0195),"вул. Широка (вул. Доробок, 36А)",49.842079,23.973525
4799,0429,Автобусний завод (0429),вул. Стрийська 45,49.808524,24.019257
4800,0403,Податкова (0403),вул. Чмоли Івана 1,49.814562,24.021947
4801,0419,Католицький університет (0419),вул. Панаса Мирного 4,49.816562,24.026917
4802,0420,Кибальчича (0420),вул. Панаса Мирного 26,49.813789,24.035817
4804,0412,Львівхолод (0412),вул. Луганська 3,49.807534,24.054037
4805,0376,ДБК (0376),вул. Зелена 238,49.804937,24.062709
4806,0379,Зубрівська (0379),вул. Зелена 266,49.801506,24.065895
4807,0380,Сихівська (0380),вул. Зелена 278,49.797039,24.071817
4808,0397,Кавалерідзе (0397),вул. Кавалерідзе Івана 2,49.793694,24.064409
4809,0400,Кос-Анатольського (0400),вул. Кавалерідзе Івана 16,49.790688,24.067896
4810,0410,Коломийська - Трильовського (0410),вул. Коломийська 9,49.787672,24.065938
4811,0409,Коломийська (0409),вул. Коломийська 7,49.788039,24.061051
4813,0399,Кос-Анатольського (0399),вул. Кавалерідзе Івана 15,49.791274,24.067440
4814,0398,Антоненка-Давидовича (0398),вул. Кавалерідзе Івана 9,49.792711,24.065568
4815,0394,Сихівська (0394),вул. Зелена (навпроти буд. 309),49.797178,24.071935
4816,0423,Кавалерідзе (0423),вул. Сихівська 5,49.794646,24.065167
4817,0378,Зубрівська (0378),вул. Зелена 261,49.802292,24.065428
4818,0413,Львівхолод (0413),вул. Луганська 6,49.807762,24.053428
4822,0421,вул. Кибальчича (0421),вул. Панаса Мирного 37,49.814004,24.035597
4823,0408,Католицький університет (0408),вул. Козельницька 4,49.816292,24.025732
4824,0404,Податкова (0404),вул. Чмоли Івана 2,49.814627,24.023098
4825,0478,Автобусний завод (0478),вул. Володимира Великого 2,49.808316,24.016982
4826,0196,Широка (0196),"вул. Широка (вул. Сяйво, 99)",49.842826,23.978788
4827,0192,Низинна (0192),вул. Широка 44,49.842179,23.971680
4828,0175,Гніздовського (0175),вул. Суботівська 2,49.842376,23.967667
4829,0178,Поліклініка №3 (0178),"вул. Суботівська (вул. Повітряна, 88)",49.845631,23.966734
4830,0426,Кавалерідзе (0426),вул. Сихівська 20,49.794425,24.062907
4831,0122,Залізнична РА (0122),вул. Патона Євгена,49.822830,23.965323
4832,0119,Патона (0119),вул. Патона Євгена 2,49.823210,23.960581
4833,0167,ЛОРТА (0167),вул. Ряшівська 7,49.824294,23.956085
4834,0166,Ряшівська (0166),вул. Ряшівська 1,49.826837,23.955018
4835,0115,Каховська (0115),"вул. Городоцька, 236",49.826792,23.946478
4836,0102,Станційна (0102),"вул. Городоцька, 282",49.823482,23.928912
4841,0116,Каховська (0116),,49.827055,23.948951
4842,0169,Ряшівська (0169),"вул. Ряшівська (Городоцька, 309)",49.826958,23.954455
4843,0168,ЛОРТА (0168),"вул. Ряшівська (вул. Патона Євгена, 6)",49.824002,23.955729
4844,0121,Патона (0121),вул. Патона Євгена 31,49.823007,23.961446
4845,0120,Залізнична РА (0120),вул. Патона Євгена 7,49.822560,23.965698
4846,0444,Чукаріна (0444),"вул. Хуторівка (вул. В. Чукаріна, 28)",49.800478,24.040704
4847,0424,Центр Довженка (0424),вул. Сихівська 13,49.793989,24.061727
4848,0111,Приміський вокзал (0111),вул. Городоцька (навпроти № 169),49.835740,23.995594
4849,0042,пл. Митна (0042),вул. Личаківська 7,49.839833,24.038005
4850,0046,Кропивницького (0046),пл. Кропивницького Марка 3,49.837303,24.005352
4851,0557,Бандери (0557),вул. Бандери Степана 73,49.834858,24.006897
4852,0556,Карпінського (0556),вул. Бандери Степана 53,49.834696,24.010022
4853,0065,Львівська політехніка (0065),вул. Бандери Степана 15,49.834613,24.016140
4854,0045,Головна пошта (0045),"вул. Коперника Миколая (вул. В. Стефаника, 2)",49.837097,24.024358
4855,0217,Руставелі Шота (0217),"вул. Зелена, 12",49.833893,24.036680
4856,0219,Львівводоканал (0219),вул. Зелена 54,49.830786,24.043193
4857,0024,Водогінна (0024),вул. Зелена 118,49.826280,24.043509
4858,0025,Керченська (0025),вул. Зелена (навпроти № 109),49.823470,24.052248
4859,0369,Липова Алея (0369),вул. Зелена 130,49.820659,24.055879
4860,0372,Дністерська (0372),вул. Зелена 150,49.817745,24.059388
4861,0365,Вашингтона (0365),"вул. Вашингтона Джорджа (вул. Зелена, 147)",49.815921,24.063009
4862,0363,Перинатальний центр (0363),вул. Вашингтона Джорджа 6,49.815714,24.070434
4863,0282,Лисинецька (0282),вул. Пасічна 85,49.817039,24.077262
4864,0284,Ярошинської (0284),"вул. Пасічна (вул. Є. Ярошинської, 2)",49.822568,24.075173
4866,0268,Каштанова (0268),вул. Медової печери 30,49.824439,24.079580
4867,0270,Медової печери (0270),вул. Медової печери 67,49.823044,24.083960
4868,0269,Каштанова (0269),вул. Медової печери 45,49.824557,24.079537
4869,0267,Майорівка (0267),вул. Медової печери 1,49.826636,24.072810
4870,0278,Таджицька (0278),вул. Пасічна 39,49.830834,24.068363
4872,,Богдана Котика (0252),вул. Личаківська 149,49.837377,24.060391
4874,0245,Медичний університет (0245),вул. Личаківська 67,49.840100,24.049024
4875,0242,Військовий госпіталь (0242),вул. Личаківська 35,49.840259,24.043150
4876,0057,Підвальна (0057),вул. Підвальна 2,49.842502,24.035170
4877,0040,Театральна (0040),площа Князя Ярослава Осмомисла,49.844819,24.027706
4878,0013,Магнус (0013),вул. Городоцька 8,49.843935,24.024104
4880,0156,Будинок меблів (0156),"вул. Любінська (вул. Зоряна, 4)",49.824968,23.979067
4881,0536,Окружна (0536),вул. Любінська 60,49.827376,23.983150
4882,0147,Будинок меблів (0147),вул. Любінська 96,49.823965,23.976738
4883,0149,Караджича (0149),вул. Любінська 102,49.822089,23.972683
4884,0680,Церква Святої Анни (0680),вул. Шевченка Тараса 24,49.843151,24.015008
4885,0681,Мудрого (0681),вул. Шевченка Тараса 52,49.844389,24.011373
4886,0682,Турянського (0682),вул. Шевченка Тараса 94,49.847285,24.002509
4887,0683,Єрошенка (0683),вул. Шевченка Тараса 114,49.848150,23.999972
