stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_region
4972,0211,Глинянський Тракт (0211),вул. Глинянський Тракт (навпроти № 161),49.841932,24.100957,Личаківський
42810,0384,Станція Сихів (384),"вул. Зелена, 308",49.786060,24.076045,Сихівський
4854,0045,Головна пошта (45),"вул. М. Коперника (вул. В. Стефаника, 2)",49.837097,24.024358,Галицький
44219,0004,Академія мистецтв (4),"вул. Свенціцького, 15",49.825512,24.035667,Галицький
44237,0712,Енергетична (0712),"вул. Енергетична, 12",49.815603,24.030082,Сихівський
4642,0635,Плугова (635),"вул. Гетьмана Мазепи, 32",49.872371,24.043332,Шевченківський
42768,0037,Стрийський парк (37),"вул. Франка, 108",49.826813,24.034122,Галицький
4875,0242,Військовий госпіталь (242),вул. Личаківська 35,49.840259,24.043150,Личаківський
4775,0629,Татарбунарська (629),"вул. Винниця (вул. Т. Шевченка, 154)",49.854037,23.986405,Шевченківський
4960,1071,"Брюховичі, Смолиста (1071)",вул. Незалежності України 45,49.895120,23.945949,Шевченківський
44964,0439,Угорська (439),"вул. Угорська, 25",49.810687,24.044915,Сихівський
4731,0498,Богданівка (498),вул. Городоцька (навпроти № 225),49.832495,23.978396,Залізничний
5009,0356,Лікарня №8 (0356),вул. В. Навроцького 21,49.811376,24.050741,Сихівський
4762,0700,Стельмаха (700),вул. Т. Шевченка (навпроти № 384),49.870438,23.945507,Шевченківський
5090,0235,Шевченківський гай (0235),вул. Кривчицька Дорога 19А,49.842328,24.069033,Личаківський
4617,0541,Княгині Ольги (541),вул. Наукова 30,49.803937,23.999572,Франківський
5136,0625,Школа №23 (625),"вул. Варшавська, 155",49.865506,24.010899,Шевченківський
5124,0546,Симоненка (546),"вул. Наукова, 112",49.805456,23.985579,Франківський
4818,0413,Львівхолод (0413),вул. Луганська 6,49.807762,24.053428,Сихівський
4739,0563,Автовокзал (563),вул. Стрийська 302,49.787582,24.014606,Франківський
5025,1108,"Рудне, Л. Українки (1108)",вул. Т. Шевченка (Рудно),49.839813,23.886874,Залізничний
42805,0509,Боднарівка (509),"вул. І. Рубчака (вул. Стрийська, 144)",49.805318,24.018216,Франківський
4862,0363,Перинатальний центр (363),"вул. Дж. Вашингтона, 6",49.815714,24.070434,Сихівський
4696,0568,Тролейбусне депо (568),"вул. Тролейбусна, 1",49.807404,24.007479,Франківський
4836,0102,Станційна (102),"вул. Городоцька, 282",49.823482,23.928912,Залізничний
4880,0156,Будинок меблів (156),"вул. Любінська (вул. Зоряна, 4)",49.824968,23.979067,Залізничний
44969,,"Винники, вул. Джерельна (1032)","Винники, вул. Забава, 71",49.805765,24.120929,Личаківський
4808,0397,Кавалерідзе (397),вул. І. Кавалерідзе 2,49.793535,24.064463,Сихівський
42761,,Котика (248),"вул. Личаківська, 112",49.837252,24.060026,Личаківський
4915,0272,Фабрика повидла (272),"вул. Механічна (вул. Б.Хмельницького, 122)",49.855266,24.045390,Личаківський
4882,0147,Будинок меблів (147),"вул. Любінська, 96",49.823965,23.976738,Залізничний
5014,0364,ТЦ Метро-2 (364),"вул. Дж. Вашингтона, 8",49.814447,24.075320,Сихівський
4842,0169,Ряшівська (169),"вул. Ряшівська (Городоцька, 309)",49.826844,23.954540,Залізничний
4698,0481,В. Великого (481),"вул. Володимира Великого, 22",49.810435,24.001200,Франківський
4950,0513,Шумського (0513),вул. Княгині Ольги 3,49.823743,24.007707,Франківський
4956,0515,Шумського (0515),вул. Княгині Ольги 32,49.823093,24.006742,Франківський
4594,0537,Підстригача (537),"вул. Наукова, 3",49.802259,24.013520,Франківський
5067,0262,Дріжджова (262),вул. Личаківська (навпроти № 283),49.833972,24.088157,Личаківський
44949,0109,Городоцька-Кільцева (109),"вул. Городоцька, 367",49.821061,23.916695,Залізничний
4685,0485,Боткіна (485),"вул. Володимира Великого, 111",49.811148,23.991673,Франківський
42803,,Тролейбусне депо (569),"вул. Тролейбусна, 4",49.807565,24.007407,Франківський
4961,1067,"Брюховичі, Цвинтар (1067)",вул. Львівська,49.897392,23.963928,Шевченківський
45016,0281,Майорівка (281),"вул. Пасічна, 70",49.825977,24.073196,Личаківський
4784,0658,Лікарня швидкої допомоги (658),"вул. І. Миколайчука, 11",49.874907,24.041259,Шевченківський
4847,0424,Центр Довженка (424),вул. Сихівська 13,49.794023,24.061708,Сихівський
4995,0667,Тичини (0667),вул. П. Тичини 17,49.868747,24.034055,Шевченківський
4573,0610,Шевченківська РА (610),"пр. В. Чорновола, 61",49.857668,24.020845,Шевченківський
4889,0157,Олесницького (0157),вул. Повітряна 20,49.845355,23.978294,Залізничний
44982,0801,Колодзінського (801),пр. Червоної Калини (після з'їзду на вул. Хуторівку),49.803878,24.046103,Сихівський
4637,0617,Варшавська (617),пр. В. Чорновола (напроти № 101),49.865843,24.016977,Шевченківський
4567,0632,Лікарня швидкої допомоги (632),"вул. Гетьмана Мазепи, 21",49.871788,24.039196,Шевченківський
4712,0434,Іподром (434),вул. Стрийська 179,49.778119,24.014171,Сихівський
4789,0602,Замарстинівська (0602),"вул. В. Липинського (вул. Покутська, 1)",49.859791,24.026204,Шевченківський
5003,0647,Торфяна (647),"вул. Замарстинівська, 132",49.862178,24.026669,Шевченківський
